Instruction,Type,RV32,RV64,cp_asm_count,cp_rd,cp_rs1,cp_rs2,cp_rs1_edges,cp_rs2_edges,cmp_rd_rs1,cmp_rs1_rs2,cmp_rd_rs2,cmp_rd_rs1_rs2
mop.r.0,I1,x,x,x,x,x,,x,,x,,,
mop.r.1,I1,x,x,x,x,x,,x,,x,,,
mop.r.2,I1,x,x,x,x,x,,x,,x,,,
mop.r.3,I1,x,x,x,x,x,,x,,x,,,
mop.r.4,I1,x,x,x,x,x,,x,,x,,,
mop.r.5,I1,x,x,x,x,x,,x,,x,,,
mop.r.6,I1,x,x,x,x,x,,x,,x,,,
mop.r.7,I1,x,x,x,x,x,,x,,x,,,
mop.r.8,I1,x,x,x,x,x,,x,,x,,,
mop.r.9,I1,x,x,x,x,x,,x,,x,,,
mop.r.10,I1,x,x,x,x,x,,x,,x,,,
mop.r.11,I1,x,x,x,x,x,,x,,x,,,
mop.r.12,I1,x,x,x,x,x,,x,,x,,,
mop.r.13,I1,x,x,x,x,x,,x,,x,,,
mop.r.14,I1,x,x,x,x,x,,x,,x,,,
mop.r.15,I1,x,x,x,x,x,,x,,x,,,
mop.r.16,I1,x,x,x,x,x,,x,,x,,,
mop.r.17,I1,x,x,x,x,x,,x,,x,,,
mop.r.18,I1,x,x,x,x,x,,x,,x,,,
mop.r.19,I1,x,x,x,x,x,,x,,x,,,
mop.r.20,I1,x,x,x,x,x,,x,,x,,,
mop.r.21,I1,x,x,x,x,x,,x,,x,,,
mop.r.22,I1,x,x,x,x,x,,x,,x,,,
mop.r.23,I1,x,x,x,x,x,,x,,x,,,
mop.r.24,I1,x,x,x,x,x,,x,,x,,,
mop.r.25,I1,x,x,x,x,x,,x,,x,,,
mop.r.26,I1,x,x,x,x,x,,x,,x,,,
mop.r.27,I1,x,x,x,x,x,,x,,x,,,
mop.r.28,I1,x,x,x,x,x,,x,,x,,,
mop.r.29,I1,x,x,x,x,x,,x,,x,,,
mop.r.30,I1,x,x,x,x,x,,x,,x,,,
mop.r.31,I1,x,x,x,x,x,,x,,x,,,
mop.rr.0,R,x,x,x,x,x,x,x,x,x,x,x,x
mop.rr.1,R,x,x,x,x,x,x,x,x,x,x,x,x
mop.rr.2,R,x,x,x,x,x,x,x,x,x,x,x,x
mop.rr.3,R,x,x,x,x,x,x,x,x,x,x,x,x
mop.rr.4,R,x,x,x,x,x,x,x,x,x,x,x,x
mop.rr.5,R,x,x,x,x,x,x,x,x,x,x,x,x
mop.rr.6,R,x,x,x,x,x,x,x,x,x,x,x,x
mop.rr.7,R,x,x,x,x,x,x,x,x,x,x,x,x
