Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_vill,cp_vstart,cp_vstart_gt_vl,cp_mstatus_vs_off,cp_mstatus_fs_off,cp_vectorfp_mstatus_fs_state,cp_vectorfp_mstatus_fs_state_nonaffecting,cp_vectorfp_mstatus_fs_state_affecting_register,cp_vectorfp_mstatus_fs_state_affecting_csr
vfadd.vv,VVVM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfadd.vf,VVFM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwadd.vv,VVVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfwadd.vf,VVFM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfwadd.wv,VVVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfwadd.wf,VVFM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfsub.vv,VVVM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfsub.vf,VVFM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwsub.vv,VVVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfwsub.vf,VVFM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfwsub.wv,VVVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfwsub.wf,VVFM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfrsub.vf,VVFM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfmul.vv,VVVM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfmul.vf,VVFM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwmul.vv,VVVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfwmul.vf,VVFM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfdiv.vv,VVVM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfdiv.vf,VVFM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfrdiv.vf,VVFM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
