Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_vill,cp_vstart,cp_vstart_gt_vl
vadd.vv,VVVM,x,x,x,x,x,x,x,x,x
vadd.vx,VVXM,x,x,x,x,x,x,x,x,x
vadd.vi,VVIM,x,x,x,x,x,x,x,x,x
vwadd.vv,VVVM,x,x,x,x,x,,x,x,x
vwadd.vx,VVXM,x,x,x,x,x,,x,x,x
vwaddu.vv,VVVM,x,x,x,x,x,,x,x,x
vwaddu.vx,VVXM,x,x,x,x,x,,x,x,x
vwadd.wv,VVVM,x,x,x,x,x,,x,x,x
vwadd.wx,VVXM,x,x,x,x,x,,x,x,x
vwaddu.wv,VVVM,x,x,x,x,x,,x,x,x
vwaddu.wx,VVXM,x,x,x,x,x,,x,x,x
vsub.vv,VVVM,x,x,x,x,x,x,x,x,x
vsub.vx,VVXM,x,x,x,x,x,x,x,x,x
vwsub.vv,VVVM,x,x,x,x,x,,x,x,x
vwsub.vx,VVXM,x,x,x,x,x,,x,x,x
vwsubu.vv,VVVM,x,x,x,x,x,,x,x,x
vwsubu.vx,VVXM,x,x,x,x,x,,x,x,x
vwsub.wv,VVVM,x,x,x,x,x,,x,x,x
vwsub.wx,VVXM,x,x,x,x,x,,x,x,x
vwsubu.wv,VVVM,x,x,x,x,x,,x,x,x
vwsubu.wx,VVXM,x,x,x,x,x,,x,x,x
vrsub.vx,VVXM,x,x,x,x,x,x,x,x,x
vrsub.vi,VVIM,x,x,x,x,x,x,x,x,x
vzext.vf2,VVM,x,x,,x,x,x,x,x,x
vzext.vf4,VVM,x,x,,,x,x,x,x,x
vzext.vf8,VVM,x,x,,,,x,x,x,x
vsext.vf2,VVM,x,x,,x,x,x,x,x,x
vsext.vf4,VVM,x,x,,,x,x,x,x,x
vsext.vf8,VVM,x,x,,,,x,x,x,x
vadc.vvm,VVVM,x,x,x,x,x,x,x,x,x
vadc.vxm,VVXM,x,x,x,x,x,x,x,x,x
vadc.vim,VVIM,x,x,x,x,x,x,x,x,x
vsbc.vvm,VVVM,x,x,x,x,x,x,x,x,x
vsbc.vxm,VVXM,x,x,x,x,x,x,x,x,x
vmadc.vvm,VVVM,x,x,x,x,x,x,x,x,x
vmadc.vxm,VVXM,x,x,x,x,x,x,x,x,x
vmadc.vim,VVIM,x,x,x,x,x,x,x,x,x
vmadc.vv,VVV,x,x,x,x,x,x,x,x,x
vmadc.vx,VVX,x,x,x,x,x,x,x,x,x
