Instruction,Type,RV32,RV64,cp_ssstrictv_widening_source_overlap,cp_ssstrictv_all_widening_source_overlap,cp_ssstrictv_vext2_overlapping_vd_vs2,cp_ssstrictv_vext4_overlapping_vd_vs2,cp_ssstrictv_vext8_overlapping_vd_vs2,cp_ssstrictv_vwiden_overlapping_vd_vs1_lmul1,cp_ssstrictv_vwiden_overlapping_vd_vs2_lmul1,cp_ssstrictv_vwidenw_overlapping_vd_vs1_lmul1,cp_ssstrictv_vnarrow_overlapping_vd_vs2,cp_ssstrictv_widening_vd_emul_16,cp_ssstrictv_narrowing_vs2_emul_16,cp_ssstrictv_widening_vd_sew_eq_elen,cp_ssstrictv_narrowing_vs2_sew_eq_elen,cp_ssstrictv_vrgather_vd_vs1_eq,cp_ssstrictv_vrgather_vd_vs2_eq,cp_ssstrictv_vrgatherei16_emul_16,cp_ssstrictv_vrgatherei16_emul_f16,cp_ssstrictv_masking_vd_eq_v0,cp_ssstrict_ls_nf_eew_emul8,cp_ssstrict_ls_nf_eew_emul4,cp_ssstrict_ls_nf_eew_emul2,cp_ssstrictv_masking_vd_eq_v0_lmulgt1,cp_ssstrictv_ls_seg_vd_overflow,cp_ssstrictv_ls_seg_idx_vd_vs2_overlap,cp_ssstrictv_ls_wr_nf_not_pow2,cp_ssstrictv_ls_wr_nreg2_vd_unaligned,cp_ssstrictv_ls_wr_nreg4_vd_unaligned,cp_ssstrictv_ls_wr_nreg8_vd_unaligned,cp_ssstrictv_vfp_frm_reserved,cp_ssstrictv_vfp_eew_unsupported,cp_ssstrictv_vzext_src_reserved,cp_ssstrictv_vadc_vsbc_vm1_reserved,cp_ssstrictv_vadc_vsbc_vd_v0_reserved,cp_ssstrictv_vmv_vs2_not_v0_reserved,cp_ssstrictv_vfp_widen_eew_unsupported,cp_ssstrictv_vfmv_vs2_not_v0_reserved,cp_ssstrictv_mask_logical_vm0_reserved,cp_ssstrictv_vid_vs2_not_v0_reserved,cp_ssstrictv_vmv_xs_sx_vm0_reserved,cp_ssstrictv_vfmv_fs_sf_vm0_reserved,cp_ssstrictv_vslideup_vd_vs2_overlap,cp_ssstrictv_vrgather_vd_vs2_overlap,cp_ssstrictv_vrgather_vd_vs1_overlap,cp_ssstrictv_vcompress_vd_vs2_overlap,cp_ssstrictv_vcompress_vd_v0_overlap,cp_ssstrictv_vmvnr_simm_reserved,cp_ssstrictv_vmv2r_reg_align,cp_ssstrictv_vmv4r_reg_align,cp_ssstrictv_vmv8r_reg_align,cp_ssstrictv_vcsr_reserved_bits,cp_ssstrictv_masking_vd_v0_overlap,cp_ssstrictv_lmulgt1_off_group,cp_ssstrictv_ls_eew_2x_elen,cp_ssstrictv_ls_emul_16,cp_ssstrictv_ls_emul_f16,cp_ssstrictv_ls_emul_nfields_16,cp_ssstrictv_vslide1up_vd_vs2_overlap,cp_ssstrictv_vcompress_vstart_nonzero,cp_ssstrictv_vcompress_vstart_report_zero,cp_ssstrictv_vmv2r_off_group,cp_ssstrictv_vmv4r_off_group,cp_ssstrictv_vmv8r_off_group,cp_ssstrictv_ls_seg_idx_vd_vs2_grp_overlap,cp_ssstrictv_reserved_vcsrs,cp_ssstrictv_vsetvli_reserved_vsew,cp_ssstrictv_vsetvli_lmul_sew_ratio,cp_ssstrictv_ls_eew_lt_sewmin,cp_ssstrictv_ls_mew_reserved,cp_ssstrictv_vzext_vf2_reserved,cp_ssstrictv_vzext_vf4_reserved,cp_ssstrictv_vzext_vf8_reserved,cp_ssstrictv_vcompress_vm0_reserved,cp_ssstrictv_vsext_src_reserved,cp_ssstrictv_ext_emul_lt1_overlap,cp_ssstrictv_widen_max_sew,cp_ssstrictv_vsetvli_x0_x0_reserved,cp_ssstrictv_vsetvl_x0_x0_reserved,cp_ssstrictv_ls_seg_vd_overflow_emulgt1,cp_ssstrictv_vlmul_100_reserved,cp_ssstrictv_ls_idx_emul_gt8,cp_ssstrictv_ls_idx_emul_lt_f8,cp_vtype_walking1s,cp_exceptionsv_vd_vs2_overlap,cp_exceptionsv_vd_vs1_overlap,cp_exceptionsv_vd_v0_overlap_mask_active,cp_ssstrictv_vstart_ge_vlmax
vaadd.vv,VVVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vaadd.vx,VVXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vaaddu.vv,VVVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vaaddu.vx,VVXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vadc.vim,VVIM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vadc.vvm,VVVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vadc.vxm,VVXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vadd.vi,VVIM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vadd.vv,VVVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vadd.vx,VVXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vand.vi,VVIM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vand.vv,VVVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vand.vx,VVXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vasub.vv,VVVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vasub.vx,VVXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vasubu.vv,VVVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vasubu.vx,VVXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vcompress.vm,VVV,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,x,,,,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,x
vcpop.m,XVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
